Species.sitecircrat,Wetland Indicator,Annual/perennial/biennial,Forbes/grasses/sedge/rush/fern
american.water.horehound,OBL,P,Forb
aromatic.aster,FACU,P,Forb
beebalm,FAC,P,Forb
biennial.beeblossom,FACU,B,Forb
blue.false.indigo,FACU,P,Forb
blue.vervain,FACW,P,Forb
boneset,FACW,P,Forb
butterfly.milkweed,FACU,P,Forb
c_horsenettle,FAC,P,Forb
Canada.goldenrod,FACU,P,Forb
common.milkweed,FACU,P,Forb
common.sneezeweed,FACW,P,Forb
deertongue,FAC,P,Grass
eastern.willowherb,OBL,P,Forb
evening.primrose,FAC,B,Forb
flat.topped.goldenrod,FACU,P,Forb
fowl.mannagrass,FACW,P,Grass
golden.alexanders,FACW,P,Forb
great.blue.lobelia,OBL,P,Forb
indiangrass,UPL,P,Grass
joe.pye.weed,FACW,P,Forb
lanceleaf.coreopsis,FACU,P,Forb
little.bluestem,FACU,P,Grass
m_rose,FAC,P,Sedge
mountainmint,FAC,P,Forb
mugwort,UPL,P,Forb
new.york.ironweed,FACW,P,Grass
partridge.pea,FACU,P,Forb
plains.coreopsis,FACU,A,Forb
pokeweed,FACU,P,Forb
purple.coneflower,FACU,P,Grass
purplestem.aster,FACU,P,Forb
redtop.panicgrass,FACW,P,Grass
river.oats,FACW,P,Grass
roundhead.lespedeza,FACU,P,Forb
rush,FACW,P,Rush
sedge,FAC,P,Sedge
sensitive.fern,OBL,P,Fern
showy.ticktrefoil,FAC,P,Forb
smartweed,FACW,P,Forb
spiderwort,FAC,P,Forb
square.stemmed.monkeyflower,OBL,P,Forb
st.johns.wort,FACU,P,Forb
swamp.milkweed,OBL,P,Forb
switchgrass,FACU,P,Grass
tall.coneflower,FAC,P,Forb
tall.white.beardtongue,FAC,P,Forb
virginia.wildrye,FACW,P,Grass
white.goldenrod,FAC,P,Forb
wild.bergamot,FAC,P,Forb
wild.senna,FACW,P,Forb
woolgrass,OBL,P,Sedge
zigzag.aster,FACU,P,Forb
