Species (condensed),"Scientific name (genus, unless SPECIFIC)",Common names
mountainmint,Pycnanthemum spp.,Mountainmint
aromatic.aster,Symphyotrichum spp.,Aromatic aster
beebalm,Monarda spp.,beebalm
dg_bulrush (soft & path),Scirpus spp.,Dark green bulrush
"tall_coneflower (purple confleower, oxeye.sunflower, blackeyed.susan, browneyed.susan)",Echinacea spp.,Tall coneflower
purplestem.aster,Symphyotrichum puniceum,Purplestem aster
flat.topped.goldenrod,Solidago spp.,Flat topped goldenrod
Canada.goldenrod,Solidago canadensis,Canada goldenrod
blue.vervain,Verbena spp.,Blue vervain
deertongue,Dichanthelium clandestinum,Deertongue
c_horsenettle,Solanum carolinense,Carolina horsenettle
cw_mullein,Verbascum thapsus,Common mullein
rl_dogwood,Cornus drummondii,Red-osier dogwood
pokeweed,Phytolacca decandra,Pokeweed
virginia.wildrye,Elymus virginicus,Virginia wildrye
arrow_vib,Viburnum dentatum,Arrowwood viburnum
sedge,Carex spp.,Sedge
little.bluestem,Schizachyrium spp.,Little bluestem
c_purslane,Portulaca oleracea,Common purslane
m_rose,Rosa multiflora,Multiflora rose
fiddle_dock,Rumex pulcher,Fiddle dock
crown_vetch,Securigera varia,Crown vetch
smoothsheathed_sedge,Carex disjuncta,Smoothsheathed sedge
g_burdock,Arctium lappa,Greater burdock
g_mustard,Alliaria petiolata,Garlic mustard
swamp.milkweed,Asclepias incarnata,Swamp milkweed
golden.alexanders,Zizia aurea,Golden alexanders
boneset,Eupatorium perfoliatum,Boneset
fowl.mannagrass,Glyceria striata,Fowl mannagrass
sensitive.fern ,Onoclea sensibilis,Sensitive fern 
great.blue.lobilia,Lobelia siphilitica,Great blue lobilia
common.sneezeweed,Helenium autumnale,Common sneezeweed
square.stemmed.monkeyflower,Mimulus ringens,Square stemmed monkeyflower
woolgrass,Scirpus cyperinus,Woolgrass
american.water.horehound,Lycopus americanus,American water horehound
indiangrass,Sorghastrum nutans,Indiangrass
partridge.pea,Chamaecrista fasciculata,Partridge pea
lanceleaf.coreopsis,Coreopsis lanceolata,Lanceleaf coreopsis
tall.white.beardtongue,Penstemon digitalis,Tall white beardtongue
roundhead.lesperdeza,Lespedeza capitata,Roundhead lesperdeza
wild.senna,Senna hebecarpa,Wild senna
butterfly.milkweed,Asclepias tuberosa,Butterfly milkweed
blue.false.indigo,Baptisia australis,Blue false indigo
biennial.beeblossom,Oenothera gaura,Biennial beeblossom
common.milkweed,Asclepias syriaca,Common milkweed
wild.bergamot,Monarda fistulosa,Wild bergamot
switchgrass,Panicum virgatum,Switchgrass
partrudge.pea,Chamaecrista fasciculata,Partrudge pea
plains.coreopsis,Coreopsis tinctoria,Plains coreopsis
redtip.panicgrass,Panicum rigidulum,Redtop panicgrass
river.oats,Chasmanthium latifolium,River oats
new.york.ironweed,Vernonia noveboracensis,New York ironweed
joe.pye.weed,Eutrochium purpureum,Joe pye weed
tall.coneflower,Echinacea spp.,Tall coneflower
zigzag.aster,Symphyotrichum spp.,Zigzag aster
,,
,,
NOT PLANTED,,NOT PLANTED
eastern.willowherb,Epilobium coloratum,Eastern willowherb
evening.primrose,Oenothera biennis,Evening primrose
climbing.hempweed,Mikania scandens,Climbing hempweed
climbing.false.buckwheat,Polygonum scandens,Climbing false buckwheat
smartweed,Persicaria pensylvanica,Smartweed
